Incident ID ,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Name,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201219928,1204,180063894,12/21/2018 09:13:13 PM,120,1,Robbery,WHEATON,11100 BLK  GEORGIA AVE,SILVER SPRING,MD,20902,MCPD,Street - Bus Stop,L,4L2,352,11100,GEORGIA,AVE,12/21/2018 09:13:00 PM,,39.03627,-77.0499,4D,"(39.0363, -77.0499)"
201301798,5016,200035833,09/13/2020 12:26:58 AM,90Z,1,All Other Offenses,GERMANTOWN,25600 BLK  COLTRANE DR,DAMASCUS,MD,20872,MCPD,Parking Lot - Residential,M,5M2,615,25600,COLTRANE,DR,08/08/2020 17:10,08/08/2020 0:00,39.27784,-77.2115,5D,"(39.2778, -77.2115)"
201221577,5404,190000342,01/03/2019 2:48,90D,1,Driving Under the Influence,ROCKVILLE,,ROCKVILLE,MD,20850,RCPD,Street - In vehicle,A,1A3,283,,GRANDIN,AVE,01/03/2019 2:48,01/03/2019 2:48,39.08668764,-77.1447539,1D,"(39.0867, -77.1448)"
201221577,9053,190000342,01/03/2019 2:48,90Z,1,All Other Offenses,ROCKVILLE,,ROCKVILLE,MD,20850,RCPD,Street - Other,A,1A3,283,,GRANDIN,AVE,01/03/2019 2:48,01/03/2019 2:48,39.08668764,-77.1447539,1D,"(39.0867, -77.1448)"
201294935,2303,200027681,07/16/2020 05:29:50 PM,23C,1,Shoplifting,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876,MCPD,Retail - Department/Discount Store,M,5M1,701,20900,FREDERICK,RD,07/16/2020 05:29:00 PM,,39.1982954,-77.2448997,5D,"(39.1983, -77.2449)"
201302822,1103,200036477,,11A,1,Forcible Rape,MONTGOMERY VILLAGE,8500 BLK  SNOUFFER SCHOOL RD,GAITHERSBURG,MD,20879,MCPD,Residence - Apartment/Condo,R,6R3,421,8500,SNOUFFER SCHOOL,RD,09/21/2020 02:32:00 PM,,39.16819409,-77.17504902,6D,"(39.1682, -77.175)"
201230089,4004,190010482,03/06/2019 16:23,40A,1,Prostitution,ROCKVILLE,15100 BLK  FREDERICK RD,ROCKVILLE,MD,20850,MCPD,Retail - Salon/Spa,A,1A3,244,15100,FREDERICK,RD,02/28/2019 12:00:00 PM,07/24/2019 11:30:00 PM,39.10344276,-77.15594063,1D,"(39.1034, -77.1559)"
201103144,5404,16053153,,90D,1,Driving Under the Influence,ROCKVILLE,700 BLK  1ST ST,ROCKVILLE,MD,20850,RCPD,Street - Other,A,1A3,286,700,1ST,ST,10/16/2016 03:19:00 AM,10/16/2016 03:19:00 AM,39.08540686,-77.13623089,1D,"(39.0854, -77.1362)"
201281828,5404,200012544,03/14/2020 02:48:22 AM,90D,1,Driving Under the Influence,MONTGOMERY VILLAGE,,GAITHERSBURG,MD,20878,MCPD,Street - Commercial,P,6P2,593,,QUINCE ORCHARD,RD,03/14/2020 03:20:00 AM,,39.13479138,-77.22573052,6D,"(39.1348, -77.2257)"
201288711,3699,200020337,05/21/2020 05:11:18 PM,11D,1,Fondling,WHEATON,14500 BLK  HOMECREST RD,SILVER SPRING,MD,20906,MCPD,Residence - Nursing Home,K,4K1,532,14500,HOMECREST,RD,05/14/2020 12:00:00 PM,05/14/2020 04:00:00 PM,39.09352922,-77.06214322,4D,"(39.0935, -77.0621)"
201299156,2203,200032643,08/21/2020 09:40:10 AM,220,1,Burglary/Breaking and Entering,BETHESDA,7300 BLK  MAC ARTHUR BLV,BETHESDA,MD,20816,MCPD,Retail - Drug Store/Pharmacy,E,2.00E+01,25,7300,MAC ARTHUR,BLV,08/21/2020 03:30:00 AM,08/21/2020 03:45:00 AM,38.96562,-77.139,2D,"(38.9656, -77.139)"
201141912,3540,170516482,06/29/2017 05:55:40 PM,35A,1,Drug/Narcotic Violations,BETHESDA,10300 BLK  GEORGETOWN RD,BETHESDA,MD,20814,MCPD,Street - In vehicle,D,2D4,191,10300,GEORGETOWN,RD,06/29/2017 05:56:00 PM,,39.0241663,-77.12475324,2D,"(39.0242, -77.1248)"
201141912,3542,170516482,06/29/2017 05:55:40 PM,35A,1,Drug/Narcotic Violations,BETHESDA,10300 BLK  GEORGETOWN RD,BETHESDA,MD,20814,MCPD,Street - In vehicle,D,2D4,191,10300,GEORGETOWN,RD,06/29/2017 05:56:00 PM,,39.0241663,-77.12475324,2D,"(39.0242, -77.1248)"
201278428,2303,200006360,02/07/2020 16:26,23C,1,Shoplifting,BETHESDA,7100 BLK  DEMOCRACY BLV,BETHESDA,MD,20817,MCPD,Retail - Mall,E,2.00E+03,204,7100,DEMOCRACY,BLV,02/07/2020 16:26,,39.02207674,-77.14737627,2D,"(39.0221, -77.1474)"
201122585,3699,17010112,,11D,1,Fondling,BETHESDA,8900 BLK  ROCKVILLE PIK,BETHESDA,MD,20889,MCPD,Hotel/Motel/Etc.,D,2D3,74,8900,ROCKVILLE,PIK,02/24/2017 08:58:00 PM,,38.99957307,-77.09688532,2D,"(38.9996, -77.0969)"
201265858,1305,190055731,11/18/2019 08:10:07 PM,13A,1,Aggravated Assault,MONTGOMERY VILLAGE,100 BLK  ROLLING RD,GAITHERSBURG,MD,20877,GPD,Street - Residential,P,6P3,432,100,ROLLING,RD,11/18/2019 08:00:00 PM,,39.13976022,-77.19074974,6D,"(39.1398, -77.1907)"
201268143,9199,190058467,,90Z,1,All Other Offenses,ROCKVILLE,100 BLK  EDISON PARK DR,GAITHERSBURG,MD,20878,MCPD,Other/Unknown,B,1B2,725,100,EDISON PARK,DR,11/06/2019 0:00,,39.11304,-77.2363,1D,"(39.113, -77.2363)"
201205383,2303,180045217,09/10/2018 18:00,23C,1,Shoplifting,ROCKVILLE,600 BLK  HUNGERFORD DR,ROCKVILLE,MD,20850,RCPD,Retail - Department/Discount Store,A,1A3,278,600,HUNGERFORD,DR,09/10/2018 18:00,09/10/2018 18:25,39.09205881,-77.15330513,1D,"(39.0921, -77.1533)"
201306680,2308,200041641,10/22/2020 02:46:33 AM,23D,1,Theft from Building,BETHESDA,7000 BLK  BROOKVILLE RD,CHEVY CHASE,MD,20815,MCPD,Retail - Drug Store/Pharmacy,D,2D1,9,7000,BROOKVILLE,RD,10/22/2020 02:46:00 AM,,38.97995,-77.0713,2D,"(38.98, -77.0713)"
201239792,2399,190022716,05/14/2019 12:31:28 PM,23H,1,All other Larceny,WHEATON,12300 BLK  GEORGIA AVE,SILVER SPRING,MD,20906,MCPD,Restaurant,J,4J1,536,12300,GEORGIA,AVE,05/14/2019 12:31:00 PM,,39.05823,-77.0503,4D,"(39.0582, -77.0503)"
201352260,2305,210045080,11/07/2021 11:11,23F,1,Theft From Motor Vehicle,SILVER SPRING,3000 BLK  BRIGGS CHANEY RD,SILVER SPRING,MD,20904,MCPD,Parking Lot - Commercial,I,3I2,380,3000,BRIGGS CHANEY,RD,11/07/2021 11:11,,39.08299,-76.9481,3D,"(39.083, -76.9481)"
201357344,2303,210051430,12/17/2021 04:28:33 PM,23C,1,Shoplifting,MONTGOMERY VILLAGE,15700 BLK  SHADY GROVE RD,GAITHERSBURG,MD,20877,MCPD,Retail - Other,P,6P3,756,15700,SHADY GROVE,RD,12/17/2021 12:30:00 PM,12/17/2021 12:50:00 PM,39.11349,-77.1873,6D,"(39.1135, -77.1873)"
201359914,9105,220001153,01/10/2022 16:40,90Z,1,All Other Offenses,BETHESDA,8500 BLK  16TH ST,SILVER SPRING,MD,20910,MCPD,Street - Other,D,2D1,517,8500,16TH,ST,01/08/2022 18:00,01/10/2022 15:00,38.99559,-77.0384,2D,"(38.9956, -77.0384)"
201219904,1103,180059295,11/27/2018 03:01:27 PM,11A,1,Forcible Rape,GERMANTOWN,18800 BLK  WARING STATION RD,GERMANTOWN,MD,20874,MCPD,School/College - DO NOT USE,N,5N1,447,18800,WARING STATION,RD,10/30/2018 03:00:00 PM,10/30/2018 06:00:00 PM,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
201219904,1114,180059295,11/27/2018 03:01:27 PM,11B,1,Forcible Sodomy,GERMANTOWN,18800 BLK  WARING STATION RD,GERMANTOWN,MD,20874,MCPD,School/College - DO NOT USE,N,5N1,447,18800,WARING STATION,RD,10/30/2018 03:00:00 PM,10/30/2018 06:00:00 PM,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
201219904,9003,180059295,11/27/2018 03:01:27 PM,11C,1,Sexual Assault With An Object,GERMANTOWN,18800 BLK  WARING STATION RD,GERMANTOWN,MD,20874,MCPD,School/College - DO NOT USE,N,5N1,447,18800,WARING STATION,RD,10/30/2018 03:00:00 PM,10/30/2018 06:00:00 PM,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
201173768,9107,180006183,02/05/2018 16:12,90Z,1,All Other Offenses,SILVER SPRING,13100 BLK  SERPENTINE WAY,SILVER SPRING,MD,20904,MCPD,Residence - Single Family,I,3I1,376,13100,SERPENTINE,WAY,01/31/2018 10:00:00 AM,02/05/2018 15:48,39.07070343,-76.97068822,3D,"(39.0707, -76.9707)"
201167957,9199,170550372,12/23/2017 02:15:19 PM,90Z,1,All Other Offenses,MONTGOMERY VILLAGE,300 BLK  GARTH TER,GAITHERSBURG,MD,20879,MCPD,Street - Residential,R,6R2,545,300,GARTH,TER,12/23/2017 02:00:00 PM,,39.16035035,-77.2169577,6D,"(39.1604, -77.217)"
201277232,1399,200006853,02/10/2020 21:16,13B,1,Simple Assault,GERMANTOWN,12800 BLK  FAIRCHILD DR,GERMANTOWN,MD,20874,MCPD,Residence - Apartment/Condo,N,5N1,702,12800,FAIRCHILD,DR,02/10/2020 21:16,,39.192864,-77.26295381,5D,"(39.1929, -77.263)"
201292495,1303,200024847,06/25/2020 08:19:07 PM,13A,1,Aggravated Assault,SILVER SPRING,14100 BLK  CASTLE BLV,SILVER SPRING,MD,20904,MCPD,Residence - Apartment/Condo,I,3I2,380,14100,CASTLE,BLV,06/25/2020 08:19:00 PM,,39.08702,-76.9404,3D,"(39.087, -76.9404)"
201375320,1399,220019591,05/08/2022 20:48,13B,1,Simple Assault,BETHESDA,,SILVER SPRING,MD,20910,MCPD,Street - Other,D,2D1,517,,16TH,ST,05/07/2022 2:30,,0,0,2D,"(0.0, 0.0)"
201362009,2305,220003680,01/27/2022 09:54:39 PM,23F,1,Theft From Motor Vehicle,ROCKVILLE,1700 BLK E JEFFERSON ST,ROCKVILLE,MD,20852,MCPD,Parking Lot - Commercial,A,1A1,270,1700,JEFFERSON,ST,01/27/2022 08:30:00 PM,01/27/2022 09:30:00 PM,39.0584,-77.1263,1D,"(39.0584, -77.1263)"
201362228,1399,220003925,01/29/2022 03:25:31 PM,13B,2,Simple Assault,MONTGOMERY VILLAGE,9300 BLK  CORPORATE BLV,ROCKVILLE,MD,20850,MCPD,Residence - Apartment/Condo,P,6P1,721,9300,CORPORATE,BLV,01/29/2022 03:25:00 PM,01/29/2022 06:00:00 PM,39.10688,-77.1922,6D,"(39.1069, -77.1922)"
201362228,4801,220003925,01/29/2022 03:25:31 PM,90Z,1,All Other Offenses,MONTGOMERY VILLAGE,9300 BLK  CORPORATE BLV,ROCKVILLE,MD,20850,MCPD,Residence - Apartment/Condo,P,6P1,721,9300,CORPORATE,BLV,01/29/2022 03:25:00 PM,01/29/2022 06:00:00 PM,39.10688,-77.1922,6D,"(39.1069, -77.1922)"
201362009,2404,220003680,01/27/2022 09:54:39 PM,240,1,Motor Vehicle Theft,ROCKVILLE,1700 BLK E JEFFERSON ST,ROCKVILLE,MD,20852,MCPD,Parking Lot - Commercial,A,1A1,270,1700,JEFFERSON,ST,01/27/2022 08:30:00 PM,01/27/2022 09:30:00 PM,39.0584,-77.1263,1D,"(39.0584, -77.1263)"
201230659,9107,190011952,03/15/2019 09:23:25 AM,90Z,1,All Other Offenses,WHEATON,5300 BLK  CRESTEDGE LA,ROCKVILLE,MD,20853,MCPD,Residence - Single Family,K,4K2,529,5300,CRESTEDGE,LA,03/13/2019 06:00:00 PM,,39.08808828,-77.10725216,4D,"(39.0881, -77.1073)"
201362251,5404,220003889,01/29/2022 04:30:52 AM,90D,1,Driving Under the Influence,MONTGOMERY VILLAGE,10100 BLK  RIDGELINE DR,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - In vehicle,R,6R2,546,10100,RIDGELINE,DR,01/29/2022 05:23:00 AM,,39.17469,-77.2052,6D,"(39.1747, -77.2052)"
201275382,9199,200004543,01/27/2020 10:21:31 PM,90Z,1,All Other Offenses,WHEATON,4400 BLK  SIGSBEE RD,SILVER SPRING,MD,20906,MCPD,Residence - Driveway,K,4K2,307,4400,SIGSBEE,RD,01/27/2020 10:21:00 PM,,39.05607076,-77.08459753,4D,"(39.0561, -77.0846)"
201167448,4008,170549664,12/20/2017 08:42:35 AM,40C,1,All Other Offenses,ROCKVILLE,900 BLK  HUNGERFORD DR,ROCKVILLE,MD,20850,MCPD,Retail - Other,A,1A3,245,900,HUNGERFORD,DR,12/19/2017 10:00:00 AM,06/14/2018 01:00:00 AM,39.09663573,-77.15325879,1D,"(39.0966, -77.1533)"
201297525,2404,200030712,08/07/2020 17:34,240,1,Motor Vehicle Theft,CITY OF TAKOMA PARK,1100 BLK  UNIVERSITY BLV E,,MD,20912,TPPD,Parking Lot - Commercial,T,8T3,806,1100,UNIVERSITY,BLV,08/06/2020 23:23,08/06/2020 23:23,39.0358507,-77.02689045,8D,"(39.0359, -77.0269)"
201202980,3550,180042096,08/23/2018 09:52:08 PM,35B,1,Drug Equipment Violations,GERMANTOWN,12800 BLK  MIDDLEBROOK RD,GERMANTOWN,MD,20874,MCPD,Street - In vehicle,N,5N1,447,12800,MIDDLEBROOK,RD,08/23/2018 09:52:00 PM,,39.17774375,-77.26561864,5D,"(39.1777, -77.2656)"
201167448,6411,170549664,12/20/2017 08:42:35 AM,64A,7,"Human Trafficking, Commercial Sex Acts",ROCKVILLE,900 BLK  HUNGERFORD DR,ROCKVILLE,MD,20850,MCPD,Retail - Other,A,1A3,245,900,HUNGERFORD,DR,12/19/2017 10:00:00 AM,06/14/2018 01:00:00 AM,39.09663573,-77.15325879,1D,"(39.0966, -77.1533)"
201362514,2308,220004101,01/31/2022 08:26:51 AM,23D,1,Theft from Building,MONTGOMERY VILLAGE,16000 BLK  INDUSTRIAL DR,GAITHERSBURG,MD,20877,MCPD,Commercial - Industrial park,P,6P3,754,16000,INDUSTRIAL,DR,01/03/2022 8:00,01/31/2022 08:07:00 AM,39.11761,-77.1898,6D,"(39.1176, -77.1898)"
201363459,5404,220004952,02/05/2022 0:23,90D,1,Driving Under the Influence,ROCKVILLE,5000 BLK  S270 X6 TO X4 HWY,POTOMAC,MD,20854,MCPD,Street - In vehicle,B,1B1,658,5000,S270 X6 TO X4,HWY,02/05/2022 0:23,,39.08087,-77.1712,1D,"(39.0809, -77.1712)"
